time,date,hour,open,high,close,low,volumefrom,volumeto
1650502800,2022-04-21,1,41554.16,41779.71,41684.52,41479.78,1066.31,44365437.68
1650506400,2022-04-21,2,41684.52,41734.46,41642.0,41584.06,385.4,16055291.3
1650510000,2022-04-21,3,41642.0,41721.78,41706.05,41572.48,288.12,12001741.68
1650513600,2022-04-21,4,41706.05,41762.55,41620.18,41547.74,398.01,16573329.17
1650517200,2022-04-21,5,41620.18,41707.16,41489.44,41459.79,433.33,18007332.43
1650520800,2022-04-21,6,41489.44,41606.35,41544.09,41441.8,364.75,15143976.37
1650524400,2022-04-21,7,41544.09,41943.89,41870.71,41481.32,727.38,30343573.06
1650528000,2022-04-21,8,41870.71,42070.43,41940.49,41772.76,1060.07,44430259.93
1650531600,2022-04-21,9,41940.49,41981.01,41823.83,41766.76,606.15,25377189.35
1650535200,2022-04-21,10,41823.83,42466.15,42260.84,41801.0,2293.04,96860315.43
1650538800,2022-04-21,11,42260.84,42681.38,42456.21,42260.84,1425.23,60544657.89
1650542400,2022-04-21,12,42456.21,42780.06,42684.74,42372.38,1331.36,56741740.87
1650546000,2022-04-21,13,42684.74,42996.5,42697.06,42628.51,2040.24,87335768.9
1650549600,2022-04-21,14,42697.06,42713.04,42517.35,42437.84,1206.09,51345000.04
1650553200,2022-04-21,15,42517.35,42577.7,42160.71,42139.07,1483.78,62860330.36
1650556800,2022-04-21,16,42160.71,42185.29,41829.56,41828.85,1881.94,79064469.09
1650560400,2022-04-21,17,41829.56,41934.33,41563.33,41507.63,1973.3,82295503.45
1650564000,2022-04-21,18,41563.33,41673.1,41451.56,41404.33,1583.77,65745396.75
1650567600,2022-04-21,19,41451.56,41556.56,41240.08,41223.38,1921.81,79532498.32
1650571200,2022-04-21,20,41240.08,41306.2,40605.48,40544.63,3409.96,139630111.89
1650574800,2022-04-21,21,40605.48,40852.74,40740.68,40574.06,1097.91,44748708.89
1650578400,2022-04-21,22,40740.68,40810.4,40431.39,39864.73,3103.1,124970768.11
1650582000,2022-04-21,23,40431.39,40560.63,40490.97,40339.08,879.45,35569840.62
1650585600,2022-04-22,0,40490.97,40652.04,40417.35,40238.46,1258.79,50893553.7
1650589200,2022-04-22,1,40417.35,40564.65,40509.49,40321.45,733.11,29645411.19
1650592800,2022-04-22,2,40509.49,40641.41,40492.22,40444.32,616.72,25008069.87
1650596400,2022-04-22,3,40492.22,40615.17,40505.57,40458.63,514.08,20838614.03
1650600000,2022-04-22,4,40505.57,40632.95,40630.89,40470.89,513.16,20825193.43
1650603600,2022-04-22,5,40630.89,40734.58,40678.88,40605.99,859.35,34958980.57
1650607200,2022-04-22,6,40678.88,40794.73,40685.2,40633.2,438.62,17854704.76
1650610800,2022-04-22,7,40685.2,40786.08,40714.65,40308.12,1570.08,63662213.27
1650614400,2022-04-22,8,40714.65,40783.6,40412.05,40366.47,906.22,36717310.65
1650618000,2022-04-22,9,40412.05,40482.51,40312.07,40214.84,1034.32,41764960.26
1650621600,2022-04-22,10,40312.07,40494.02,40467.14,40155.28,680.11,27437068.29
1650625200,2022-04-22,11,40467.14,40594.89,40594.44,40434.63,672.81,27268890.82
1650628800,2022-04-22,12,40594.44,40621.87,40414.37,40371.73,772.57,31280778.61
1650632400,2022-04-22,13,40414.37,40632.79,40240.25,40047.18,2631.05,106057717.56
1650636000,2022-04-22,14,40240.25,40439.69,39872.02,39820.09,2607.66,104370675.69
1650639600,2022-04-22,15,39872.02,40002.37,39437.55,39330.53,3517.1,139376281.96
1650643200,2022-04-22,16,39437.55,39528.81,39388.11,39190.22,2157.23,84963963.66
1650646800,2022-04-22,17,39388.11,39526.7,39348.09,39303.31,1216.95,47975295.92
1650650400,2022-04-22,18,39348.09,39644.83,39518.09,39230.63,1592.84,62783921.45
1650654000,2022-04-22,19,39518.09,39788.31,39499.52,39420.84,1741.63,68950595.22
1650657600,2022-04-22,20,39499.52,39624.05,39623.22,39419.14,922.76,36451507.61
1650661200,2022-04-22,21,39623.22,39683.83,39628.62,39546.34,499.58,19789870.78
1650664800,2022-04-22,22,39628.62,39747.28,39720.26,39450.95,951.83,37722347.35
1650668400,2022-04-22,23,39720.26,39823.5,39716.04,39671.17,455.35,18095988.64
1650672000,2022-04-23,0,39716.04,39865.41,39578.46,39567.21,852.85,33824504.97
1650675600,2022-04-23,1,39578.46,39703.68,39622.82,39573.94,355.63,14092409.42
1650679200,2022-04-23,2,39622.82,39624.88,39500.82,39442.29,458.89,18134487.78
1650682800,2022-04-23,3,39500.82,39556.34,39475.07,39425.76,406.86,16064301.15
1650686400,2022-04-23,4,39475.07,39570.94,39542.29,39305.67,652.23,25721906.77
1650690000,2022-04-23,5,39542.29,39631.82,39583.34,39523.21,266.52,10548384.97
1650693600,2022-04-23,6,39583.34,39680.02,39602.52,39562.1,327.11,12959647.04
1650697200,2022-04-23,7,39602.52,39661.71,39612.23,39564.36,185.15,7335196.32
1650700800,2022-04-23,8,39612.23,39693.99,39645.89,39552.71,234.15,9279004.96
1650704400,2022-04-23,9,39645.89,39665.83,39537.43,39520.88,384.71,15225397.66
1650708000,2022-04-23,10,39537.43,39666.42,39618.95,39536.7,355.97,14099292.59
1650711600,2022-04-23,11,39618.95,39698.29,39624.81,39604.41,370.35,14684257.41
1650715200,2022-04-23,12,39624.81,39788.96,39715.83,39558.2,489.2,19411585.67
1650718800,2022-04-23,13,39715.83,39808.62,39722.63,39671.8,497.04,19751175.42
1650722400,2022-04-23,14,39722.63,39777.55,39728.81,39666.34,438.3,17403637.59
1650726000,2022-04-23,15,39728.81,39852.54,39807.76,39688.79,538.33,21411007.4
1650729600,2022-04-23,16,39807.76,39988.54,39866.37,39738.02,984.08,39311714.88
1650733200,2022-04-23,17,39866.37,39866.43,39830.52,39730.29,489.86,19488513.33
1650736800,2022-04-23,18,39830.52,39861.56,39694.61,39673.25,370.04,14718734.68
1650740400,2022-04-23,19,39694.61,39790.36,39773.04,39684.82,324.96,12911035.76
1650744000,2022-04-23,20,39773.04,39841.07,39811.23,39767.8,368.05,14648613.69
1650747600,2022-04-23,21,39811.23,39962.16,39911.03,39793.12,397.65,15851481.46
1650751200,2022-04-23,22,39911.03,39943.82,39823.94,39799.53,429.7,17138476.02
1650754800,2022-04-23,23,39823.94,39835.2,39445.97,39353.46,1303.91,51644870.86
1650758400,2022-04-24,0,39445.97,39668.02,39588.8,39431.39,535.56,21196671.65
1650762000,2022-04-24,1,39588.8,39650.62,39494.65,39492.45,496.15,19638529.78
1650765600,2022-04-24,2,39494.65,39616.7,39552.35,39435.94,407.14,16102324.76
1650769200,2022-04-24,3,39552.35,39838.28,39787.11,39530.74,592.46,23543030.66
1650772800,2022-04-24,4,39787.11,39825.19,39723.68,39676.95,369.16,14677589.2
1650776400,2022-04-24,5,39723.68,39738.6,39687.15,39651.44,233.95,9286758.01
1650780000,2022-04-24,6,39687.15,39807.77,39763.15,39669.23,325.3,12929183.71
1650783600,2022-04-24,7,39763.15,39824.59,39762.6,39742.68,254.41,10120523.32
1650787200,2022-04-24,8,39762.6,39817.08,39739.12,39732.54,246.99,9824767.95
1650790800,2022-04-24,9,39739.12,39791.03,39767.72,39680.7,243.88,9691864.72
1650794400,2022-04-24,10,39767.72,39800.19,39710.51,39659.13,234.54,9314664.79
1650798000,2022-04-24,11,39710.51,39733.35,39617.48,39563.77,240.96,9550993.77
1650801600,2022-04-24,12,39617.48,39668.41,39598.44,39545.37,261.03,10337203.34
1650805200,2022-04-24,13,39598.44,39633.7,39586.72,39369.91,757.09,29907805.88
1650808800,2022-04-24,14,39586.72,39943.44,39755.31,39384.49,827.02,32799339.32
1650812400,2022-04-24,15,39755.31,39837.53,39658.22,39645.02,341.12,13545726.08
1650816000,2022-04-24,16,39658.22,39735.77,39507.72,39044.29,2129.03,83802635.58
1650819600,2022-04-24,17,39507.72,39531.44,39435.6,39154.18,959.67,37742286.25
1650823200,2022-04-24,18,39435.6,39704.46,39677.84,39419.58,698.04,27621650.51
1650826800,2022-04-24,19,39677.84,39808.68,39712.77,39649.07,590.07,23441995.07
1650830400,2022-04-24,20,39712.77,39735.97,39515.91,39492.35,501.04,19832676.63
1650834000,2022-04-24,21,39515.91,39665.58,39653.35,39474.86,615.69,24359730.56
1650837600,2022-04-24,22,39653.35,39780.89,39567.02,39546.19,390.69,15502716.2
1650841200,2022-04-24,23,39567.02,39587.71,39466.26,39447.3,417.57,16501472.68
